Unnamed: 0,TAM,MIN,Game ID,DET,KAN,CAR,ATL,HOU,BAL,DAL,NYG,LVR,DEN,TEN,NOR,PHI,NWE,MIA,LAC,BUF,NYJ,CIN,CLE,LAR,SEA,JAX,IND,SFO,PIT,GNB,CHI,ARI,WAS
First Downs,16,18,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush-Yds-TDs,33-73-0,17-41-0,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,21-34-173-2-0,33-44-344-2-1,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacked-Yards,1-4,2-16,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Pass Yards,169,328,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Yards,242,369,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumbles-Lost,0-0,2-2,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnovers,0,3,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penalties-Yards,3-19,6-45,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Down Conv.,6-17,6-14,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth Down Conv.,1-1,0-0,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time of Possession,30:39,29:21,202309100min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Downs,,,202309070kan,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush-Yds-TDs,,,202309070kan,34-118-1,23-90-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309070kan,22-35-253-1-0,21-39-226-2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacked-Yards,,,202309070kan,1-3,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Pass Yards,,,202309070kan,250,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Yards,,,202309070kan,368,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumbles-Lost,,,202309070kan,2-1,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnovers,,,202309070kan,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penalties-Yards,,,202309070kan,4-63,3-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Down Conv.,,,202309070kan,5-15,5-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth Down Conv.,,,202309070kan,1-3,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time of Possession,,,202309070kan,32:38,27:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Downs,,,202309100atl,,,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush-Yds-TDs,,,202309100atl,,,32-154-0,26-130-2,,,,,,,,,,,,,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309100atl,,,20-38-146-1-2,15-18-115-1-0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacked-Yards,,,202309100atl,,,2-19,4-24,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Pass Yards,,,202309100atl,,,127,91,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Yards,,,202309100atl,,,281,221,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumbles-Lost,,,202309100atl,,,2-1,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnovers,,,202309100atl,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Penalties-Yards,,,202309100atl,,,9-66,6-43,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Down Conv.,,,202309100atl,,,5-14,2-10,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth Down Conv.,,,202309100atl,,,0-2,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,
Time of Possession,,,202309100atl,,,34:41,25:19,,,,,,,,,,,,,,,,,,,,,,,,,,
First Downs,,,202309100rav,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,
Rush-Yds-TDs,,,202309100rav,,,,,23-72-0,32-110-3,,,,,,,,,,,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309100rav,,,,,28-44-242-0-0,17-22-169-0-1,,,,,,,,,,,,,,,,,,,,,,,,
Sacked-Yards,,,202309100rav,,,,,5-46,4-14,,,,,,,,,,,,,,,,,,,,,,,,
Net Pass Yards,,,202309100rav,,,,,196,155,,,,,,,,,,,,,,,,,,,,,,,,
Total Yards,,,202309100rav,,,,,268,265,,,,,,,,,,,,,,,,,,,,,,,,
Fumbles-Lost,,,202309100rav,,,,,1-1,2-1,,,,,,,,,,,,,,,,,,,,,,,,
Turnovers,,,202309100rav,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Penalties-Yards,,,202309100rav,,,,,9-88,13-106,,,,,,,,,,,,,,,,,,,,,,,,
Third Down Conv.,,,202309100rav,,,,,7-18,8-15,,,,,,,,,,,,,,,,,,,,,,,,
Fourth Down Conv.,,,202309100rav,,,,,1-4,0-0,,,,,,,,,,,,,,,,,,,,,,,,
Time of Possession,,,202309100rav,,,,,29:05,30:55,,,,,,,,,,,,,,,,,,,,,,,,
First Downs,,,202309100nyg,,,,,,,18,14,,,,,,,,,,,,,,,,,,,,,,
Rush-Yds-TDs,,,202309100nyg,,,,,,,30-122-3,28-108-0,,,,,,,,,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309100nyg,,,,,,,13-25-143-0-0,17-30-110-0-2,,,,,,,,,,,,,,,,,,,,,,
Sacked-Yards,,,202309100nyg,,,,,,,0-0,7-47,,,,,,,,,,,,,,,,,,,,,,
Net Pass Yards,,,202309100nyg,,,,,,,143,63,,,,,,,,,,,,,,,,,,,,,,
Total Yards,,,202309100nyg,,,,,,,265,171,,,,,,,,,,,,,,,,,,,,,,
Fumbles-Lost,,,202309100nyg,,,,,,,1-0,5-1,,,,,,,,,,,,,,,,,,,,,,
Turnovers,,,202309100nyg,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,
Penalties-Yards,,,202309100nyg,,,,,,,5-35,6-72,,,,,,,,,,,,,,,,,,,,,,
Third Down Conv.,,,202309100nyg,,,,,,,6-13,5-16,,,,,,,,,,,,,,,,,,,,,,
Fourth Down Conv.,,,202309100nyg,,,,,,,1-2,3-5,,,,,,,,,,,,,,,,,,,,,,
Time of Possession,,,202309100nyg,,,,,,,26:32,33:28,,,,,,,,,,,,,,,,,,,,,,
First Downs,,,202309100den,,,,,,,,,22,22,,,,,,,,,,,,,,,,,,,,
Rush-Yds-TDs,,,202309100den,,,,,,,,,29-61-0,22-94-0,,,,,,,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309100den,,,,,,,,,20-26-200-2-1,27-34-177-2-0,,,,,,,,,,,,,,,,,,,,
Sacked-Yards,,,202309100den,,,,,,,,,0-0,2-11,,,,,,,,,,,,,,,,,,,,
Net Pass Yards,,,202309100den,,,,,,,,,200,166,,,,,,,,,,,,,,,,,,,,
Total Yards,,,202309100den,,,,,,,,,261,260,,,,,,,,,,,,,,,,,,,,
Fumbles-Lost,,,202309100den,,,,,,,,,1-0,0-0,,,,,,,,,,,,,,,,,,,,
Turnovers,,,202309100den,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,
Penalties-Yards,,,202309100den,,,,,,,,,10-97,10-83,,,,,,,,,,,,,,,,,,,,
Third Down Conv.,,,202309100den,,,,,,,,,5-11,5-11,,,,,,,,,,,,,,,,,,,,
Fourth Down Conv.,,,202309100den,,,,,,,,,1-1,0-0,,,,,,,,,,,,,,,,,,,,
Time of Possession,,,202309100den,,,,,,,,,27:52,32:08,,,,,,,,,,,,,,,,,,,,
First Downs,,,202309100nor,,,,,,,,,,,16,15,,,,,,,,,,,,,,,,,,
Rush-Yds-TDs,,,202309100nor,,,,,,,,,,,22-104-0,27-69-0,,,,,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309100nor,,,,,,,,,,,16-34-198-0-3,23-33-305-1-1,,,,,,,,,,,,,,,,,,
Sacked-Yards,,,202309100nor,,,,,,,,,,,3-17,4-23,,,,,,,,,,,,,,,,,,
Net Pass Yards,,,202309100nor,,,,,,,,,,,181,282,,,,,,,,,,,,,,,,,,
Total Yards,,,202309100nor,,,,,,,,,,,285,351,,,,,,,,,,,,,,,,,,
Fumbles-Lost,,,202309100nor,,,,,,,,,,,0-0,2-1,,,,,,,,,,,,,,,,,,
Turnovers,,,202309100nor,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,
Penalties-Yards,,,202309100nor,,,,,,,,,,,6-45,7-45,,,,,,,,,,,,,,,,,,
Third Down Conv.,,,202309100nor,,,,,,,,,,,2-12,7-16,,,,,,,,,,,,,,,,,,
Fourth Down Conv.,,,202309100nor,,,,,,,,,,,0-0,0-0,,,,,,,,,,,,,,,,,,
Time of Possession,,,202309100nor,,,,,,,,,,,31:20,28:40,,,,,,,,,,,,,,,,,,
First Downs,,,202309100nwe,,,,,,,,,,,,,17,24,,,,,,,,,,,,,,,,
Rush-Yds-TDs,,,202309100nwe,,,,,,,,,,,,,25-97-0,22-76-0,,,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309100nwe,,,,,,,,,,,,,22-33-170-1-0,35-54-316-3-1,,,,,,,,,,,,,,,,
Sacked-Yards,,,202309100nwe,,,,,,,,,,,,,3-16,2-10,,,,,,,,,,,,,,,,
Net Pass Yards,,,202309100nwe,,,,,,,,,,,,,154,306,,,,,,,,,,,,,,,,
Total Yards,,,202309100nwe,,,,,,,,,,,,,251,382,,,,,,,,,,,,,,,,
Fumbles-Lost,,,202309100nwe,,,,,,,,,,,,,1-1,2-1,,,,,,,,,,,,,,,,
Turnovers,,,202309100nwe,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
Penalties-Yards,,,202309100nwe,,,,,,,,,,,,,5-49,7-50,,,,,,,,,,,,,,,,
Third Down Conv.,,,202309100nwe,,,,,,,,,,,,,4-13,5-15,,,,,,,,,,,,,,,,
Fourth Down Conv.,,,202309100nwe,,,,,,,,,,,,,0-1,1-4,,,,,,,,,,,,,,,,
Time of Possession,,,202309100nwe,,,,,,,,,,,,,30:48,29:12,,,,,,,,,,,,,,,,
First Downs,,,202309100sdg,,,,,,,,,,,,,,,30,30,,,,,,,,,,,,,,
Rush-Yds-TDs,,,202309100sdg,,,,,,,,,,,,,,,20-70-1,40-233-3,,,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309100sdg,,,,,,,,,,,,,,,28-45-466-3-1,23-33-229-1-0,,,,,,,,,,,,,,
Sacked-Yards,,,202309100sdg,,,,,,,,,,,,,,,0-0,3-29,,,,,,,,,,,,,,
Net Pass Yards,,,202309100sdg,,,,,,,,,,,,,,,466,200,,,,,,,,,,,,,,
Total Yards,,,202309100sdg,,,,,,,,,,,,,,,536,433,,,,,,,,,,,,,,
Fumbles-Lost,,,202309100sdg,,,,,,,,,,,,,,,2-1,0-0,,,,,,,,,,,,,,
Turnovers,,,202309100sdg,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,
Penalties-Yards,,,202309100sdg,,,,,,,,,,,,,,,6-38,6-70,,,,,,,,,,,,,,
Third Down Conv.,,,202309100sdg,,,,,,,,,,,,,,,4-9,9-15,,,,,,,,,,,,,,
Fourth Down Conv.,,,202309100sdg,,,,,,,,,,,,,,,1-1,0-1,,,,,,,,,,,,,,
Time of Possession,,,202309100sdg,,,,,,,,,,,,,,,27:19,32:41,,,,,,,,,,,,,,
First Downs,,,202309110nyj,,,,,,,,,,,,,,,,,19,13,,,,,,,,,,,,
Rush-Yds-TDs,,,202309110nyj,,,,,,,,,,,,,,,,,22-97-0,28-172-0,,,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309110nyj,,,,,,,,,,,,,,,,,29-41-236-1-3,14-22-140-1-1,,,,,,,,,,,,
Sacked-Yards,,,202309110nyj,,,,,,,,,,,,,,,,,5-19,3-23,,,,,,,,,,,,
Net Pass Yards,,,202309110nyj,,,,,,,,,,,,,,,,,217,117,,,,,,,,,,,,
Total Yards,,,202309110nyj,,,,,,,,,,,,,,,,,314,289,,,,,,,,,,,,
Fumbles-Lost,,,202309110nyj,,,,,,,,,,,,,,,,,2-1,1-0,,,,,,,,,,,,
Turnovers,,,202309110nyj,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,
Penalties-Yards,,,202309110nyj,,,,,,,,,,,,,,,,,5-40,2-10,,,,,,,,,,,,
Third Down Conv.,,,202309110nyj,,,,,,,,,,,,,,,,,5-13,5-13,,,,,,,,,,,,
Fourth Down Conv.,,,202309110nyj,,,,,,,,,,,,,,,,,0-0,1-1,,,,,,,,,,,,
Time of Possession,,,202309110nyj,,,,,,,,,,,,,,,,,33:08,27:50,,,,,,,,,,,,
First Downs,,,202309100cle,,,,,,,,,,,,,,,,,,,6,21,,,,,,,,,,
Rush-Yds-TDs,,,202309100cle,,,,,,,,,,,,,,,,,,,20-75-0,40-206-1,,,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309100cle,,,,,,,,,,,,,,,,,,,14-32-82-0-0,16-29-154-1-1,,,,,,,,,,
Sacked-Yards,,,202309100cle,,,,,,,,,,,,,,,,,,,2-15,3-10,,,,,,,,,,
Net Pass Yards,,,202309100cle,,,,,,,,,,,,,,,,,,,67,144,,,,,,,,,,
Total Yards,,,202309100cle,,,,,,,,,,,,,,,,,,,142,350,,,,,,,,,,
Fumbles-Lost,,,202309100cle,,,,,,,,,,,,,,,,,,,0-0,2-1,,,,,,,,,,
Turnovers,,,202309100cle,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,
Penalties-Yards,,,202309100cle,,,,,,,,,,,,,,,,,,,4-20,5-43,,,,,,,,,,
Third Down Conv.,,,202309100cle,,,,,,,,,,,,,,,,,,,2-15,4-14,,,,,,,,,,
Fourth Down Conv.,,,202309100cle,,,,,,,,,,,,,,,,,,,0-1,0-0,,,,,,,,,,
Time of Possession,,,202309100cle,,,,,,,,,,,,,,,,,,,24:10,35:50,,,,,,,,,,
First Downs,,,202309100sea,,,,,,,,,,,,,,,,,,,,,27,13,,,,,,,,
Rush-Yds-TDs,,,202309100sea,,,,,,,,,,,,,,,,,,,,,40-92-3,18-85-0,,,,,,,,
Cmp-Att-Yd-TD-INT,,,202309100sea,,,,,,,,,,,,,,,,,,,,,24-38-334-0-0,16-26-112-1-0,,,,,,,,
Sacked-Yards,,,202309100sea,,,,,,,,,,,,,,,,,,,,,0-0,2-17,,,,,,,,
Net Pass Yards,,,202309100sea,,,,,,,,,,,,,,,,,,,,,334,95,,,,,,,,
Total Yards,,,202309100sea,,,,,,,,,,,,,,,,,,,,,426,180,,,,,,,,
Fumbles-Lost,,,202309100sea,,,,,,,,,,,,,,,,,,,,,0-0,0-0,,,,,,,,
Turnovers,,,202309100sea,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
Penalties-Yards,,,202309100sea,,,,,,,,,,,,,,,,,,,,,7-53,7-55,,,,,,,,
Third Down Conv.,,,202309100sea,,,,,,,,,,,,,,,,,,,,,11-17,2-9,,,,,,,,
Fourth Down Conv.,,,202309100sea,,,,,,,,,,,,,,,,,,,,,1-1,0-0,,,,,,,,
Time of Possession,,,202309100sea,,,,,,,,,,,,,,,,,,,,,39:23,20:37,,,,,,,,
First Downs,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,20,18,,,,,,
Rush-Yds-TDs,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,35-105-2,26-65-1,,,,,,
Cmp-Att-Yd-TD-INT,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,24-32-241-2-1,24-39-223-1-1,,,,,,
Sacked-Yards,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,2-4,4-8,,,,,,
Net Pass Yards,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,237,215,,,,,,
Total Yards,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,342,280,,,,,,
Fumbles-Lost,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,3-1,2-2,,,,,,
Turnovers,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,
Penalties-Yards,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,4-45,4-35,,,,,,
Third Down Conv.,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,3-12,2-12,,,,,,
Fourth Down Conv.,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,1-3,1-5,,,,,,
Time of Possession,,,202309100clt,,,,,,,,,,,,,,,,,,,,,,,33:37,26:23,,,,,,
First Downs,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,22,15,,,,
Rush-Yds-TDs,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,34-188-1,10-41-0,,,,
Cmp-Att-Yd-TD-INT,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,19-29-220-2-0,31-46-232-1-2,,,,
Sacked-Yards,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,3-17,5-34,,,,
Net Pass Yards,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,203,198,,,,
Total Yards,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,391,239,,,,
Fumbles-Lost,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,3-1,0-0,,,,
Turnovers,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,
Penalties-Yards,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,11-85,6-60,,,,
Third Down Conv.,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,6-13,5-15,,,,
Fourth Down Conv.,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,1-1,1-3,,,,
Time of Possession,,,202309100pit,,,,,,,,,,,,,,,,,,,,,,,,,37:23,22:37,,,,
First Downs,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,,
Rush-Yds-TDs,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,32-92-1,29-122-1,,
Cmp-Att-Yd-TD-INT,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,15-27-245-3-0,24-37-216-1-1,,
Sacked-Yards,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,1-8,4-27,,
Net Pass Yards,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,237,189,,
Total Yards,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,329,311,,
Fumbles-Lost,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,2-0,1-1,,
Turnovers,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,
Penalties-Yards,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,9-90,7-61,,
Third Down Conv.,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,9-16,3-13,,
Fourth Down Conv.,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2,1-2,,
Time of Possession,,,202309100chi,,,,,,,,,,,,,,,,,,,,,,,,,,,29:17,30:43,,
First Downs,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,21
Rush-Yds-TDs,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-96-0,28-92-1
Cmp-Att-Yd-TD-INT,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-30-132-0-0,19-31-202-1-1
Sacked-Yards,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-18,6-46
Net Pass Yards,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,156
Total Yards,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,248
Fumbles-Lost,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-2,2-2
Turnovers,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
Penalties-Yards,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-122,8-70
Third Down Conv.,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-14,4-12
Fourth Down Conv.,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,0-0
Time of Possession,,,202309100was,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28:36,31:24
