SHAPE_1,SHAPE_2,SHAPE_5,SHAPE_7,SHAPE_8
0.748,0.488,1.291,1.349,0.972
0.603,0.475,1.346,1.386,1.051
0.590,0.487,1.223,1.383,1.112
0.528,0.460,1.468,1.448,1.019
0.587,0.478,1.292,1.424,1.076
0.593,0.484,1.287,1.506,1.017
0.512,0.453,1.362,1.545,1.002
0.482,0.455,1.342,1.506,1.091
0.583,0.462,1.334,1.453,1.024
0.569,0.455,1.441,1.451,1.059
0.559,0.463,1.303,1.599,1.088
0.617,0.469,1.418,1.338,1.114
0.560,0.469,1.389,1.435,1.001
0.544,0.453,1.453,1.404,1.018
0.568,0.440,1.386,1.462,1.013
0.573,0.477,1.344,1.448,1.083
0.472,0.458,1.379,1.618,1.140
0.576,0.460,1.473,1.475,0.951
0.465,0.458,1.242,1.682,0.944
0.541,0.482,1.401,1.556,0.962
0.535,0.463,1.356,1.525,1.025
0.492,0.453,1.228,1.459,1.035
0.623,0.455,1.280,1.389,1.092
0.518,0.463,1.411,1.462,0.962
0.565,0.488,1.394,1.471,1.089
0.555,0.480,1.291,1.548,0.971
0.531,0.485,1.363,1.520,0.953
0.564,0.464,1.314,1.391,1.049
0.713,0.482,1.378,1.260,1.064
0.509,0.453,1.322,1.408,1.014
0.564,0.473,1.294,1.450,1.064
0.512,0.472,1.405,1.605,0.927
0.578,0.462,1.293,1.417,1.051
0.647,0.460,1.248,1.481,1.071
0.602,0.462,1.393,1.471,0.997
0.555,0.459,1.476,1.473,1.029
0.571,0.486,1.253,1.606,0.936
0.553,0.466,1.346,1.590,0.971
0.581,0.476,1.313,1.436,1.045
0.516,0.478,1.487,1.475,1.055
0.730,0.481,1.364,1.242,0.985
0.562,0.450,1.377,1.517,1.010
0.530,0.468,1.408,1.515,1.023
0.538,0.468,1.314,1.586,1.059
0.624,0.468,1.314,1.406,1.009
0.519,0.467,1.293,1.546,1.018
0.588,0.466,1.345,1.487,1.013
0.582,0.474,1.379,1.414,1.007
0.517,0.478,1.301,1.529,0.970
0.524,0.480,1.374,1.460,0.999
0.542,0.462,1.378,1.381,0.992
0.570,0.485,1.396,1.450,1.035
0.510,0.474,1.427,1.421,1.099
0.510,0.466,1.247,1.544,0.980
0.519,0.474,1.368,1.489,1.031
0.492,0.466,1.291,1.515,0.971
0.485,0.470,1.233,1.467,0.957
0.577,0.455,1.295,1.483,1.084
0.545,0.470,1.306,1.477,1.071
0.545,0.481,1.354,1.515,1.103
0.557,0.456,1.374,1.619,0.992
0.581,0.459,1.289,1.452,1.039
0.498,0.485,1.384,1.615,1.034
0.492,0.461,1.334,1.555,0.965
0.609,0.487,1.282,1.489,1.059
0.563,0.506,1.505,1.592,1.038
0.609,0.463,1.259,1.384,1.067
0.558,0.464,1.276,1.604,0.996
0.500,0.453,1.285,1.671,0.965
0.603,0.492,1.250,1.370,1.085
0.600,0.460,1.382,1.469,1.111
0.532,0.467,1.382,1.520,0.997
0.607,0.459,1.421,1.413,1.123
0.597,0.480,1.269,1.370,1.053
0.499,0.470,1.481,1.496,1.034
0.570,0.461,1.303,1.458,1.091
0.522,0.472,1.335,1.503,1.067
0.545,0.479,1.261,1.418,1.025
0.601,0.479,1.344,1.425,1.044
0.547,0.447,1.275,1.506,0.932
0.643,0.484,1.288,1.476,1.166
0.612,0.466,1.258,1.336,1.045
0.572,0.484,1.375,1.525,0.947
0.559,0.470,1.314,1.552,1.034
0.718,0.454,1.556,1.296,1.006
0.559,0.478,1.343,1.542,1.076
0.557,0.472,1.332,1.531,0.960
0.600,0.442,1.463,1.408,1.126
0.627,0.470,1.340,1.474,1.090
0.496,0.440,1.266,1.558,0.965
0.574,0.462,1.345,1.418,1.074
0.517,0.458,1.376,1.640,1.044
0.505,0.468,1.338,1.558,0.954
0.591,0.484,1.212,1.390,0.959
0.546,0.454,1.340,1.446,0.991
0.535,0.457,1.302,1.548,1.015
0.584,0.471,1.349,1.419,1.038
0.595,0.492,1.186,1.376,1.073
0.539,0.479,1.413,1.604,1.043
0.658,0.470,1.385,1.416,1.170
0.528,0.456,1.441,1.501,1.035
0.508,0.480,1.287,1.518,0.999
0.486,0.464,1.345,1.600,1.009
0.537,0.466,1.440,1.473,1.067
0.520,0.446,1.384,1.605,1.051
0.523,0.482,1.372,1.625,0.963
0.635,0.468,1.298,1.359,1.059
0.535,0.462,1.383,1.448,0.965
0.514,0.473,1.285,1.632,0.942
0.565,0.459,1.285,1.528,1.069
0.529,0.466,1.310,1.430,1.008
0.552,0.461,1.324,1.480,1.028
0.571,0.478,1.337,1.455,1.070
0.638,0.471,1.363,1.413,1.065
0.547,0.469,1.374,1.450,1.043
0.624,0.484,1.254,1.375,0.987
0.523,0.451,1.286,1.557,1.012
0.603,0.456,1.343,1.599,0.988
0.504,0.468,1.379,1.498,1.143
0.554,0.482,1.430,1.600,1.109
0.501,0.453,1.287,1.524,0.980
0.611,0.468,1.358,1.324,1.011
0.605,0.473,1.252,1.457,1.088
0.560,0.459,1.339,1.566,1.033
0.590,0.465,1.467,1.343,0.968
0.503,0.467,1.201,1.648,0.998
0.540,0.464,1.179,1.581,1.014
0.534,0.461,1.310,1.564,1.001
0.548,0.467,1.250,1.585,1.103
0.573,0.463,1.298,1.512,0.985
0.517,0.466,1.394,1.477,1.121
0.586,0.474,1.391,1.557,0.963
0.526,0.466,1.439,1.454,1.068
0.617,0.480,1.454,1.466,0.935
0.512,0.469,1.555,1.410,1.036
0.638,0.474,1.417,1.428,0.981
0.581,0.451,1.340,1.466,1.038
0.563,0.473,1.281,1.453,1.058
0.585,0.469,1.362,1.500,1.047
0.561,0.459,1.383,1.495,1.065
0.496,0.464,1.415,1.422,1.092
0.465,0.458,1.321,1.568,0.996
0.566,0.476,1.351,1.428,1.092
0.552,0.461,1.215,1.492,0.996
0.573,0.475,1.332,1.533,1.008
0.718,0.489,1.400,1.297,1.151
0.537,0.461,1.328,1.585,1.071
0.569,0.473,1.298,1.446,0.964
0.519,0.480,1.388,1.597,1.033
0.547,0.466,1.305,1.476,1.061
0.579,0.475,1.463,1.553,1.077
0.563,0.502,1.350,1.561,1.012
0.518,0.465,1.322,1.477,1.021
0.564,0.473,1.288,1.458,1.062
0.557,0.462,1.343,1.444,1.041
0.589,0.468,1.397,1.432,1.042
0.566,0.451,1.332,1.373,1.066
0.544,0.462,1.481,1.507,1.062
0.538,0.459,1.353,1.586,1.014
0.517,0.463,1.259,1.573,1.007
0.557,0.469,1.302,1.523,1.081
0.551,0.482,1.473,1.601,0.952
0.517,0.468,1.358,1.509,1.062
0.576,0.462,1.354,1.362,1.029
0.536,0.458,1.337,1.515,1.049
0.642,0.457,1.259,1.324,1.076
0.674,0.466,1.330,1.396,1.165
0.515,0.471,1.396,1.485,1.015
0.508,0.450,1.324,1.532,1.052
0.589,0.462,1.440,1.375,1.066
0.516,0.469,1.412,1.614,1.074
0.525,0.475,1.382,1.572,1.038
0.519,0.481,1.304,1.573,1.065
0.529,0.456,1.405,1.527,0.971
0.613,0.478,1.336,1.428,1.024
0.469,0.463,1.360,1.666,0.979
0.593,0.483,1.216,1.463,1.120
0.508,0.456,1.312,1.542,1.067
0.539,0.463,1.359,1.537,1.054
0.500,0.461,1.361,1.488,0.942
0.632,0.474,1.276,1.404,1.106
0.633,0.480,1.349,1.336,1.034
0.535,0.460,1.406,1.467,1.042
0.583,0.456,1.241,1.505,1.039
0.524,0.449,1.458,1.716,1.038
0.501,0.449,1.295,1.675,1.010
0.649,0.470,1.309,1.277,1.042
0.496,0.446,1.355,1.598,1.005
0.481,0.471,1.306,1.582,1.046
0.530,0.501,1.445,1.489,1.029
0.534,0.452,1.289,1.568,0.985
0.601,0.471,1.356,1.366,1.079
0.647,0.483,1.440,1.385,0.987
0.643,0.463,1.246,1.319,1.011
0.507,0.473,1.225,1.515,0.974
0.637,0.450,1.268,1.317,1.058
0.562,0.464,1.341,1.519,1.041
0.563,0.468,1.276,1.466,1.114
0.531,0.452,1.366,1.449,1.015
0.609,0.454,1.354,1.391,1.082
0.563,0.464,1.356,1.448,1.083
0.547,0.464,1.191,1.454,1.053
0.560,0.463,1.327,1.524,1.094
0.584,0.457,1.236,1.365,0.976
0.560,0.488,1.288,1.494,0.992
0.566,0.456,1.368,1.301,1.095
0.513,0.459,1.390,1.587,0.999
0.578,0.447,1.315,1.561,1.012
0.530,0.484,1.176,1.638,1.085
0.570,0.466,1.266,1.504,1.119
0.666,0.461,1.402,1.304,0.979
0.615,0.486,1.293,1.465,1.055
0.498,0.466,1.365,1.613,1.082
0.580,0.481,1.338,1.504,1.032
0.549,0.458,1.264,1.458,1.036
0.519,0.452,1.368,1.455,1.060
0.556,0.466,1.389,1.603,1.059
0.569,0.467,1.340,1.538,0.967
0.547,0.471,1.238,1.468,1.033
0.527,0.466,1.219,1.592,1.029
0.628,0.472,1.272,1.445,1.047
0.596,0.463,1.410,1.489,1.001
0.612,0.474,1.379,1.309,1.078
0.531,0.470,1.219,1.602,1.028
0.426,0.462,1.368,1.672,0.940
0.657,0.489,1.386,1.363,1.056
0.592,0.472,1.263,1.560,1.090
0.601,0.473,1.258,1.342,1.116
0.438,0.477,1.208,1.710,0.976
0.690,0.467,1.341,1.260,1.067
0.495,0.459,1.322,1.599,1.083
0.615,0.470,1.300,1.473,1.083
0.574,0.471,1.236,1.471,1.098
0.561,0.470,1.241,1.513,1.084
0.485,0.451,1.226,1.584,1.005
0.589,0.498,1.268,1.469,1.036
0.515,0.474,1.278,1.440,1.036
0.576,0.459,1.297,1.425,1.067
0.502,0.476,1.321,1.600,0.979
0.911,0.508,1.488,1.294,0.964
0.580,0.487,1.378,1.415,1.100
0.581,0.476,1.305,1.459,1.013
0.623,0.469,1.527,1.469,0.954
0.557,0.467,1.233,1.435,1.027
0.535,0.459,1.270,1.426,1.048
0.669,0.493,1.359,1.339,1.062
0.484,0.470,1.336,1.505,1.080
0.563,0.455,1.511,1.674,1.073
0.507,0.468,1.365,1.555,1.052
0.562,0.479,1.254,1.534,1.080
0.576,0.452,1.308,1.490,1.085
0.530,0.480,1.305,1.683,1.053
0.614,0.468,1.313,1.276,1.164
0.641,0.464,1.304,1.562,1.004
0.517,0.469,1.233,1.573,1.118
0.564,0.469,1.248,1.650,1.038
0.617,0.459,1.426,1.528,1.034
0.619,0.470,1.340,1.471,1.061
0.621,0.475,1.319,1.392,1.171
0.526,0.466,1.436,1.450,1.069
0.514,0.475,1.267,1.512,0.987
0.572,0.446,1.313,1.480,0.969
0.519,0.469,1.341,1.544,1.003
0.515,0.490,1.170,1.655,1.001
0.544,0.459,1.321,1.604,1.011
0.482,0.443,1.273,1.573,0.953
0.959,0.483,1.394,1.266,0.898
0.646,0.473,1.306,1.409,1.104
0.508,0.472,1.358,1.572,0.914
0.546,0.478,1.226,1.542,0.995
0.548,0.468,1.359,1.508,1.073
0.575,0.460,1.358,1.515,1.018
0.597,0.465,1.432,1.515,1.011
0.626,0.461,1.226,1.418,1.057
0.572,0.477,1.329,1.527,1.099
0.488,0.442,1.359,1.587,0.996
0.546,0.471,1.288,1.430,1.074
0.630,0.446,1.414,1.383,1.064
0.609,0.454,1.348,1.463,1.028
0.560,0.469,1.319,1.496,1.041
0.495,0.454,1.342,1.475,0.987
0.653,0.458,1.641,1.306,0.975
0.534,0.467,1.367,1.458,1.079
0.585,0.449,1.407,1.428,1.007
0.510,0.477,1.333,1.537,1.107
0.520,0.450,1.372,1.493,0.959
0.626,0.470,1.371,1.465,1.060
0.592,0.465,1.370,1.415,0.969
0.537,0.473,1.255,1.591,1.034
0.558,0.480,1.387,1.463,1.094
0.617,0.485,1.309,1.468,1.041
0.738,0.472,1.363,1.289,1.034
0.542,0.480,1.313,1.651,0.929
0.624,0.488,1.317,1.445,1.035
0.539,0.440,1.395,1.469,1.094
0.585,0.465,1.320,1.327,1.082
0.501,0.467,1.213,1.546,1.049
0.554,0.455,1.318,1.488,1.082
0.585,0.459,1.283,1.403,1.015
0.541,0.466,1.363,1.545,1.106
0.555,0.499,1.276,1.568,1.041
0.595,0.487,1.450,1.447,1.037
0.566,0.479,1.373,1.429,1.081
0.473,0.460,1.351,1.672,1.018
0.653,0.494,1.340,1.271,1.062
0.480,0.509,1.307,1.712,0.998
0.674,0.478,1.311,1.388,0.979
0.485,0.488,1.215,1.621,0.954
0.660,0.490,1.391,1.442,1.108
0.666,0.470,1.297,1.328,1.034
0.537,0.459,1.324,1.530,1.108
0.700,0.473,1.338,1.297,1.110
0.540,0.468,1.247,1.661,1.006
0.555,0.469,1.334,1.486,1.107
0.525,0.454,1.347,1.617,1.014
0.529,0.470,1.378,1.547,1.027
0.489,0.446,1.348,1.433,1.017
0.564,0.476,1.334,1.319,1.014
0.489,0.459,1.311,1.622,1.010
0.711,0.462,1.313,1.297,1.030
0.597,0.477,1.385,1.422,1.028
0.567,0.469,1.300,1.546,1.086
0.583,0.470,1.321,1.407,1.079
0.569,0.469,1.372,1.538,0.988
0.573,0.448,1.392,1.379,0.971
0.488,0.480,1.320,1.517,1.047
0.530,0.451,1.264,1.519,1.025
0.547,0.477,1.368,1.546,1.013
0.697,0.491,1.323,1.388,1.017
0.754,0.479,1.348,1.267,1.047
0.556,0.463,1.413,1.467,1.111
0.568,0.470,1.259,1.573,0.984
0.520,0.467,1.291,1.656,1.002
0.531,0.467,1.206,1.573,1.141
0.504,0.486,1.452,1.657,0.990
0.632,0.450,1.263,1.478,0.988
0.615,0.462,1.268,1.326,1.121
0.562,0.469,1.336,1.476,1.083
0.509,0.477,1.353,1.532,1.011
0.502,0.457,1.333,1.733,1.053
0.600,0.481,1.238,1.466,1.087
0.662,0.471,1.246,1.322,1.063
0.479,0.463,1.252,1.645,1.006
0.536,0.460,1.285,1.514,0.968
0.705,0.475,1.345,1.362,0.942
0.534,0.479,1.196,1.519,1.078
0.600,0.488,1.249,1.450,1.117
0.532,0.460,1.362,1.520,0.991
0.477,0.459,1.293,1.593,1.019
0.527,0.481,1.315,1.456,0.904
0.549,0.477,1.203,1.426,1.046
0.497,0.479,1.329,1.554,1.042
0.581,0.462,1.316,1.448,1.119
0.550,0.471,1.410,1.367,1.099
0.492,0.451,1.298,1.633,1.063
0.642,0.482,1.231,1.218,1.008
0.562,0.456,1.209,1.592,1.035
0.552,0.457,1.423,1.432,1.009
0.556,0.461,1.251,1.575,1.031
0.501,0.469,1.394,1.608,0.999
0.594,0.462,1.301,1.423,1.103
0.553,0.461,1.295,1.388,0.957
0.569,0.467,1.482,1.403,1.008
0.593,0.477,1.317,1.412,0.995
0.529,0.454,1.253,1.583,1.031
0.484,0.437,1.261,1.494,1.057
0.547,0.471,1.374,1.449,1.032
0.520,0.458,1.346,1.399,1.012
0.547,0.468,1.316,1.450,1.063
0.526,0.462,1.110,1.602,1.011
0.496,0.470,1.454,1.610,1.040
0.478,0.471,1.240,1.613,0.975
0.559,0.455,1.366,1.626,1.073
0.533,0.453,1.388,1.500,0.984
0.555,0.479,1.284,1.474,1.069
0.485,0.472,1.314,1.585,0.960
0.585,0.459,1.222,1.433,1.101
0.502,0.452,1.203,1.520,0.987
0.517,0.470,1.344,1.615,1.055
0.716,0.468,1.299,1.224,1.104
0.538,0.463,1.319,1.497,1.019
0.469,0.466,1.268,1.544,0.934
0.625,0.492,1.327,1.340,1.068
0.549,0.462,1.315,1.462,1.029
0.561,0.469,1.389,1.496,1.062
0.546,0.456,1.202,1.505,1.053
0.492,0.456,1.229,1.509,1.037
0.546,0.458,1.293,1.515,1.093
0.593,0.473,1.463,1.374,1.077
0.559,0.466,1.312,1.385,1.066
0.435,0.452,1.331,1.652,0.975
0.536,0.475,1.389,1.598,1.053
0.505,0.469,1.281,1.630,0.961
0.607,0.479,1.278,1.444,1.022
0.549,0.457,1.383,1.457,1.068
0.552,0.486,1.301,1.613,0.909
0.562,0.459,1.321,1.458,1.094
0.563,0.466,1.347,1.446,0.959
0.515,0.459,1.169,1.538,0.983
0.628,0.475,1.475,1.256,1.081
0.497,0.474,1.274,1.673,1.046
0.572,0.451,1.312,1.369,0.955
0.535,0.447,1.287,1.607,1.066
0.513,0.454,1.309,1.558,1.090
0.500,0.448,1.397,1.524,1.082
0.543,0.468,1.354,1.509,1.005
0.608,0.467,1.275,1.340,1.084
0.541,0.454,1.158,1.435,1.059
0.525,0.451,1.412,1.494,1.078
0.554,0.448,1.241,1.443,1.114
0.512,0.453,1.375,1.544,1.000
0.470,0.414,1.441,1.580,1.023
0.563,0.473,1.246,1.525,1.073
0.572,0.437,1.358,1.320,1.038
0.542,0.459,1.387,1.410,1.052
0.538,0.441,1.299,1.565,1.055
0.577,0.434,1.346,1.542,1.042
0.549,0.453,1.184,1.486,0.991
0.573,0.458,1.450,1.485,1.071
0.487,0.461,1.282,1.533,0.971
0.542,0.455,1.371,1.537,0.944
0.530,0.467,1.319,1.599,1.018
0.678,0.485,1.354,1.263,0.981
0.603,0.473,1.241,1.481,1.102
0.494,0.477,1.124,1.621,1.039
0.578,0.446,1.292,1.475,0.978
0.559,0.470,1.248,1.457,1.019
0.611,0.467,1.374,1.383,1.086
0.588,0.462,1.194,1.426,1.091
0.598,0.456,1.258,1.295,1.089
0.505,0.458,1.255,1.456,0.993
0.522,0.450,1.254,1.461,0.962
0.559,0.462,1.410,1.365,1.004
0.695,0.468,1.460,1.364,1.072
0.502,0.472,1.340,1.551,1.000
0.555,0.484,1.219,1.476,1.031
0.553,0.475,1.269,1.501,1.041
0.541,0.460,1.354,1.503,1.035
0.633,0.468,1.275,1.434,0.998
0.688,0.480,1.348,1.266,0.959
0.537,0.463,1.334,1.611,0.980
0.622,0.484,1.358,1.440,0.990
0.501,0.463,1.464,1.633,1.067
0.526,0.475,1.272,1.384,1.011
0.511,0.460,1.386,1.528,1.004
0.516,0.466,1.348,1.566,0.950
0.560,0.472,1.485,1.421,0.959
0.521,0.479,1.356,1.547,0.996
0.529,0.479,1.303,1.605,0.914
0.451,0.479,1.242,1.792,1.023
0.639,0.461,1.397,1.386,1.005
0.634,0.463,1.477,1.570,1.171
0.635,0.490,1.277,1.307,1.033
0.642,0.459,1.429,1.362,1.100
0.594,0.470,1.322,1.370,0.995
0.599,0.441,1.331,1.424,1.090
0.554,0.465,1.329,1.422,0.990
0.612,0.455,1.432,1.412,1.021
0.573,0.478,1.251,1.528,0.944
0.580,0.457,1.530,1.459,0.994
0.607,0.475,1.198,1.392,1.010
0.625,0.453,1.341,1.416,1.111
0.524,0.442,1.286,1.513,1.038
0.610,0.455,1.377,1.425,1.059
0.597,0.457,1.310,1.397,1.102
0.507,0.474,1.404,1.676,0.976
0.496,0.457,1.461,1.487,1.040
0.490,0.461,1.324,1.519,1.040
0.641,0.431,1.518,1.429,1.097
0.478,0.449,1.480,1.628,1.116
0.621,0.472,1.529,1.284,1.030
0.483,0.454,1.442,1.534,1.082
0.538,0.443,1.562,1.451,0.979
0.528,0.462,1.508,1.496,1.005
0.501,0.457,1.299,1.534,1.002
0.509,0.475,1.320,1.533,1.032
0.476,0.442,1.412,1.574,0.995
0.558,0.463,1.342,1.488,1.043
0.489,0.470,1.405,1.538,1.009
0.503,0.450,1.425,1.654,1.015
0.496,0.462,1.309,1.513,0.993
0.551,0.471,1.471,1.459,1.018
0.621,0.472,1.289,1.296,1.015
0.555,0.470,1.283,1.464,1.014
0.549,0.459,1.290,1.520,0.964
0.589,0.464,1.196,1.441,1.035
0.496,0.473,1.426,1.618,0.911
0.655,0.471,1.343,1.389,1.140
0.531,0.447,1.454,1.450,1.008
0.542,0.462,1.414,1.487,1.012
0.546,0.473,1.351,1.591,1.051
0.477,0.482,1.283,1.704,1.009
0.639,0.468,1.347,1.302,1.015
0.592,0.463,1.275,1.361,0.965
0.724,0.490,1.423,1.312,1.122
0.575,0.474,1.346,1.476,1.076
0.537,0.468,1.264,1.496,1.044
0.566,0.450,1.240,1.389,1.047
0.629,0.480,1.313,1.422,1.098
0.515,0.449,1.332,1.519,1.037
0.642,0.475,1.330,1.338,1.028
0.474,0.444,1.299,1.624,1.061
0.554,0.468,1.372,1.503,1.115
0.570,0.463,1.242,1.539,1.121
